CountryName,FragilityIndex,m0_4,m5_9,m10_14,m15_19,m20_24,m25_29,m30_34,m35_39,m40_44,m45_49,m50_54,m55_59,m60_64,m65_69,m70_74,m75_79,m80_84,m85_89,m90_94,m95_99,m100_
North Korea,95.1,813636,864387,941169,1019338,1010965,939784,872611,885437,1132518,1017197,799181,649529,413666,419587,297869,140549,29932,3744,250,3,0
Norway,21.5,160452,157756,157625,167946,174557,171430,173998,177468,193762,187437,168659,157128,143977,133830,85576,59569,44191,25588,9327,1513,130
Oman,52,177291,138836,115237,125377,271979,473809,366140,249888,185028,127036,89356,60221,29139,21016,14184,8694,4206,1619,441,67,4
Pakistan,102.9,14801798,13393580,12672951,11607889,10379737,8592284,6903049,5602447,4740060,4186445,3632614,2873068,2071858,1644279,1152266,674699,321896,107917,19163,640,8
Panama,55.8,195149,185320,176646,168192,162181,156909,145637,135721,127060,112701,93517,75058,58623,44340,32920,22123,13078,6459,2344,564,91
Papua New Guinea,84.9,574557,531213,490746,452640,411414,356703,305445,267446,228590,196889,159639,113367,78896,54871,33225,17905,7839,2917,984,229,24
Paraguay,71.8,325746,316857,319360,321794,303711,269974,223318,184464,166121,148923,120229,95769,76529,57314,41754,25611,14425,7068,2031,405,58
Peru,72.3,1527310,1502228,1370506,1314433,1279747,1215897,1110558,1038765,937350,792289,675290,569255,465075,362335,280851,212977,136938,69266,27412,5813,580
Philippines,82.8,6012060,5775328,5446614,5090077,4671683,4078980,3730718,3299691,2964789,2518294,2094431,1669714,1219787,784359,521271,323459,161852,65911,21867,3951,338
Poland,40.9,1043450,979666,952696,1111554,1351373,1570644,1627954,1515796,1272739,1179488,1315970,1418795,1202399,760966,518558,423298,287128,121386,31733,3845,527
Portugal,32.6,241233,261543,283652,280573,286018,296605,342158,396901,381618,370598,357864,325301,303329,256726,210890,180860,121232,60331,19129,3032,276
Qatar,47.1,58171,52301,42681,52210,181335,279899,258371,195606,151477,100889,65317,38963,16887,6550,3171,2112,976,315,63,11,0
Romania,57.4,530517,541228,545035,552409,647878,719863,733791,803260,818726,662750,594236,677051,593044,407407,338822,280890,174106,73703,18286,2660,129
Russia,77.1,4518088,3873395,3469052,3621594,5335660,6349571,5753287,5164504,4720298,4467114,5234937,4600312,3640860,1884306,1715409,1300229,708808,282157,42169,6872,965
Rwanda,89.3,844933,794738,674127,576882,523996,490138,389271,252450,196220,163633,151059,117344,79973,47534,33941,24139,16343,7178,3444,1187,193
Samoa,68.7,14969,12957,11811,10851,8618,6656,6171,6270,5635,4828,4081,3186,2281,1639,1232,758,365,169,35,4,0
Sao Tome and Principe,74.6,15374,13950,11765,9943,8592,7650,6786,5465,4350,3402,2813,2062,1523,1019,883,655,351,113,27,2,0
Saudi Arabia,72.7,1627531,1461106,1469595,1370278,1292315,1518405,1947040,2209936,1789499,1329498,866883,495931,255448,142974,104923,62291,40521,19108,5021,686,50
Senegal,81.4,1151009,985352,842094,718889,626188,532693,434579,342998,263308,205091,159728,125967,98992,78455,57177,34963,15006,3846,349,4,0
Serbia,74.4,181486,176911,192748,213521,228654,259804,269907,283248,260112,254588,254249,235993,246884,194919,158808,125034,68667,22630,4106,258,39
Seychelles,64,4261,3831,3439,4074,4424,4516,4566,4428,3777,3485,3199,2309,1503,1061,689,424,251,109,27,2,0
Sierra Leone,91.2,561323,494000,442326,377580,318209,270115,224417,185850,152911,125803,99782,76280,56062,44348,28815,16185,7070,2160,423,50,2
Singapore,34,118069,119202,145116,204438,220384,215003,227351,244941,251850,253649,260926,230517,167286,86061,44484,36465,19230,9079,2889,774,125
Slovak Republic,45.3,149248,139465,137262,158614,195785,216649,230861,232664,191785,181840,183447,186506,158703,104160,72790,48036,31768,14098,3777,315,34
Slovenia,32.3,57690,50198,47468,50726,60420,73764,82879,81621,76416,79538,77884,77219,68024,46090,39950,28935,17728,7189,1955,258,41
Solomon Islands,85.2,46343,40899,36508,31162,25551,21853,19568,17260,15467,12301,9218,6545,5127,4103,2875,1793,930,441,171,30,1
Somalia,113.9,1261883,1015155,851143,707956,519179,460306,373631,293893,237446,193406,158815,128797,98901,62628,40253,23830,10604,3429,655,69,4
South Africa,67.6,2886836,2594865,2311758,2617163,2922076,2818749,2243279,1513273,1588426,1415271,919695,655719,576090,414236,264470,146110,81390,44915,17377,3887,542
South Korea,35.4,1174110,1171382,1457636,1805660,1796468,1768460,2024310,2023088,2217273,2107579,2107424,1692859,1185936,913877,748904,492065,237346,86214,24063,4572,318
South Sudan,110.6,940532,757198,663516,542527,500463,434398,397767,340187,266797,197223,147419,107461,74148,54388,34549,19373,8905,3157,939,379,122
